CaseOrder,StateId,State,CountyId,County,Population,AreaId,Area,TimeZoneId,TimeZone,Children,Age,GenerationId,Generation,Income,MaritalId,Marital,GenderId,Gender,Churn,Outage_sec_perweek,Outage_sec_perweek2,Email,Contacts,Yearly_equip_failure,Techie,Techie2,ContractId,Contract,Port_modem,Port_modem2,Tablet,Tablet2,Tablet3,InternetService,InternetService2,Phone,Phone2,Multiple,Multiple2,OnlineSecurity,OnlineSecurity2,OnlineBackup,OnlineBackup2,DeviceProtection,DeviceProtection2,TechSupport,TechSupport2,StreamingTV,StreamingTV2,StreamingMovies,StreamingMovies2,PaperlessBilling,PaperlessBilling2,PaymentMethodId,PaymentMethod,Tenure,Tenure2,MonthlyCharge,MonthlyCharge2,Bandwidth_GB_Year,Bandwidth_GB_Year2,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8
12,49,PR,455,Corozal,33372,3,Rural,95,America/Puerto_Rico,2,56,2,GerX,18342.12,1,Married,0,Female,No,6.7,6.68082638,17,1,1,0,No,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,0,No,1,Yes,0,No,1,Yes,0,No,0,No,10,Electronic Check,10.5,10.52199781,149.96,149.962093,1180.6,1180.588788,4,4,3,4,4,4,3,4
13,22,IA,1099,Muscatine,556,3,Rural,76,America/Chicago,0,83,5,Post War,83671.08,0,Divorced,1,Male,No,8.3,8.273875452,9,0,0,0,No,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,Bank Transfer(automatic),13,13.01149229,137.44,137.439154,1196.4,1196.388018,1,2,1,4,3,2,3,3
14,31,ME,137,Androscoggin,0,1,Urban,90,America/New_York,5,29,4,Millennials,115114.57,3,Separated,0,Female,No,5.9,5.880565591,14,1,0,0,No,2,Two Year,1,Yes,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,1,Yes,0,No,1,Yes,0,Bank Transfer(automatic),16.9,16.87922024,184.97,184.971516,1948.7,1948.694497,5,6,5,2,4,5,4,4
15,24,IL,449,Cook,8165,1,Urban,76,America/Chicago,1,30,4,Millennials,64256.81,3,Separated,1,Male,Yes,11.8,11.79073041,10,3,0,0,No,0,Month-to-month,0,No,0,No,,#N/A,DSL,0,No,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,Bank Transfer(automatic),10.1,10.06019902,159.97,159.965581,1582.3,1582.295235,3,3,4,2,3,4,4,2
16,59,WI,1611,Vilas,2093,2,Suburban,76,America/Chicago,3,39,4,Millennials,89061.45,0,Divorced,1,Male,Yes,10.8,10.79846973,13,1,0,0,No,1,One year,0,No,0,No,,None,None,1,Yes,0,No,1,Yes,0,No,0,No,0,No,1,Yes,1,Yes,1,Yes,10,Electronic Check,13.9,13.87001293,177.65,177.65076,1840,1840.014467,3,3,3,2,4,3,5,2
17,14,CA,1481,Stanislaus,50079,1,Urban,88,America/Los_Angeles,0,63,1,Boomers,31659.3,1,Married,0,Female,Yes,13.5,13.52284721,13,1,0,0,No,0,Month-to-month,1,Yes,0,No,,#N/A,DSL,1,Yes,1,Yes,0,No,1,Yes,1,Yes,0,No,0,No,1,Yes,1,Yes,0,Bank Transfer(automatic),15.8,15.78214958,194.97,194.966286,2070.4,2070.376729,3,4,4,3,5,4,4,3
18,37,NC,1338,Robeson,7249,3,Rural,90,America/New_York,2,60,1,Boomers,44142.81,3,Separated,1,Male,Yes,9.8,9.831166695,16,3,0,0,No,2,Two Year,0,No,0,No,,None,None,1,Yes,0,No,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,0,No,11,Mailed Check,2.3,2.303331273,202.68,202.682861,882.1,882.0985933,2,2,4,3,3,4,3,3
19,53,TN,605,Fayette,9463,3,Rural,76,America/Chicago,3,61,1,Boomers,39262.14,4,Widowed,0,Female,No,9.6,9.57470568,11,1,0,1,Yes,2,Two Year,1,Yes,0,No,,None,None,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,0,No,1,Yes,0,Bank Transfer(automatic),17.1,17.10995632,152.49,152.490739,1833.1,1833.0967,3,4,3,4,3,2,3,5
20,11,AL,252,Blount,3177,3,Rural,76,America/Chicago,3,23,3,GerZ,19494.75,0,Divorced,1,Male,Yes,10.9,10.92246098,10,1,0,0,No,0,Month-to-month,1,Yes,0,No,,#N/A,DSL,1,Yes,1,Yes,0,No,0,No,0,No,0,No,1,Yes,0,No,1,Yes,1,Credit Card (automatic),12.8,12.80615845,149.94,149.944668,1954.1,1954.080809,5,5,5,4,4,4,3,3
21,24,IL,848,Kane,69,3,Rural,76,America/Chicago,4,38,4,Millennials,39624.21,2,Never Married,1,Male,No,12.1,12.06889188,14,0,3,0,No,0,Month-to-month,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,1,Yes,0,Bank Transfer(automatic),20.5,20.45390977,184.98,184.978458,2330.3,2330.319383,2,3,3,2,4,2,3,3
22,45,OH,624,Franklin,14440,2,Suburban,90,America/New_York,3,30,4,Millennials,45714.47,0,Divorced,1,Male,No,7,6.984819996,18,1,0,0,No,2,Two Year,0,No,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0,Bank Transfer(automatic),2.4,2.415991977,127.5,127.495766,594.1,594.1054279,5,5,4,4,3,4,3,5
23,22,IA,1201,Palo Alto,381,1,Urban,76,America/Chicago,3,52,2,GerX,27442.03,4,Widowed,1,Male,No,9.4,9.372975594,16,1,1,0,No,0,Month-to-month,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,1,Yes,10,Electronic Check,6.7,6.652298992,124.96,124.964303,713.1,713.0633088,3,3,3,2,2,3,5,5
24,31,ME,1638,Washington,2193,1,Urban,90,America/New_York,2,68,1,Boomers,79699.62,0,Divorced,1,Male,No,7.1,7.109002592,9,0,0,0,No,1,One year,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,0,No,0,No,1,Yes,1,Yes,0,No,1,Yes,10,Electronic Check,8.5,8.543717478,149.95,149.948316,945.4,945.3802928,4,4,3,5,3,4,4,3
25,45,OH,410,Clermont,9434,3,Rural,90,America/New_York,3,75,1,Boomers,28520.32,4,Widowed,0,Female,Yes,13.7,13.74777955,15,1,0,0,No,0,Month-to-month,0,No,1,Yes,,None,None,1,Yes,1,Yes,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,1,Credit Card (automatic),5.8,5.770390256,162.51,162.511928,870.8,870.76398,3,3,4,2,4,4,3,4
26,19,FL,1470,St. Johns,29568,2,Suburban,90,America/New_York,1,77,5,Post War,12558.83,3,Separated,1,Male,Yes,9.8,9.767668044,12,1,0,0,No,0,Month-to-month,0,No,1,Yes,,#N/A,DSL,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Bank Transfer(automatic),4.2,4.157658837,92.46,92.455141,774.3,774.2937069,4,4,4,4,2,4,5,5
27,42,NM,1028,McKinley,3089,3,Rural,77,America/Denver,1,47,2,GerX,8762.23,1,Married,0,Female,Yes,15.9,15.8626095,15,0,1,0,No,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,1,Yes,1,Yes,0,No,11,Mailed Check,10.4,10.40566091,222.65,222.649979,1506.4,1506.446527,5,3,5,3,3,5,4,4
28,32,MI,1076,Monroe,5652,1,Urban,78,America/Detroit,0,70,1,Boomers,43882.72,4,Widowed,0,Female,Yes,14.7,14.73616645,12,0,0,0,No,0,Month-to-month,1,Yes,0,No,,None,None,1,Yes,0,No,0,No,1,Yes,1,Yes,0,No,1,Yes,0,No,1,Yes,10,Electronic Check,1.4,1.392421597,139.98,139.981577,419.1,419.0508708,2,2,3,4,4,2,2,2
29,57,VT,1638,Washington,1716,1,Urban,90,America/New_York,3,20,3,GerZ,10482.52,3,Separated,0,Female,Yes,13.4,13.43558029,13,2,0,1,Yes,1,One year,0,No,0,No,,#N/A,DSL,1,Yes,0,No,0,No,0,No,1,Yes,0,No,1,Yes,1,Yes,0,No,0,Bank Transfer(automatic),1.4,1.430386349,200.13,200.132293,1259.4,1259.415493,3,4,3,3,2,4,4,2
30,30,MD,1080,Montgomery,52484,2,Suburban,90,America/New_York,4,69,1,Boomers,33442.79,2,Never Married,1,Male,Yes,10.6,10.61771118,18,1,0,0,No,2,Two Year,0,No,1,Yes,,#N/A,DSL,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Credit Card (automatic),5.4,5.425864884,257.65,257.651257,1745.1,1745.125956,4,4,4,3,2,5,5,4
31,44,NY,1170,Oneida,11268,1,Urban,90,America/New_York,9,45,2,GerX,43383.54,1,Married,1,Male,No,6.6,6.613070806,14,0,0,0,No,2,Two Year,1,Yes,0,No,,Fiber Optic,Fiber Optic,0,No,0,No,0,No,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Credit Card (automatic),11.1,11.08287797,230.11,230.105118,1795.5,1795.465729,3,2,1,5,3,3,3,2
32,45,OH,511,Defiance,1765,3,Rural,90,America/New_York,0,40,4,Millennials,21793.88,2,Never Married,0,Female,No,4.5,4.450171647,13,2,0,0,No,2,Two Year,0,No,1,Yes,,None,None,1,Yes,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,10,Electronic Check,3.6,3.586184954,147.49,147.489301,492.5,492.4771472,2,3,4,3,3,2,4,3
33,58,WA,947,Lewis,680,3,Rural,88,America/Los_Angeles,6,82,5,Post War,51960.51,0,Divorced,0,Female,Yes,8.8,8.774646693,9,0,0,0,No,0,Month-to-month,1,Yes,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Yes,10,Electronic Check,4.7,4.727388465,230.11,230.105118,1014,1013.993166,4,4,4,5,2,5,3,5
34,32,MI,1406,Schoolcraft,136,3,Rural,78,America/Detroit,5,74,1,Boomers,25942.1,3,Separated,1,Male,Yes,11.1,11.13156721,8,1,1,0,No,0,Month-to-month,0,No,0,No,,#N/A,DSL,1,Yes,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,0,No,10,Electronic Check,20.9,20.89923386,174.96,174.958118,2680.8,2680.762173,5,5,4,3,5,3,4,1
35,24,IL,958,Livingston,1517,1,Urban,76,America/Chicago,4,69,1,Boomers,11211.59,4,Widowed,1,Male,Yes,5.5,5.540788887,15,1,0,0,No,1,One year,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,0,No,11,Mailed Check,3.5,3.471329958,267.66,267.664655,1081.8,1081.814362,6,5,5,5,2,6,5,5
36,32,MI,322,Calhoun,14103,2,Suburban,78,America/Detroit,1,52,2,GerX,8283.29,2,Never Married,1,Male,Yes,13.8,13.80362698,11,0,1,0,No,0,Month-to-month,1,Yes,0,No,,#N/A,DSL,1,Yes,1,Yes,1,Yes,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,11,Mailed Check,5.5,5.478588204,162.48,162.483267,1210,1209.961168,4,2,3,4,3,3,4,3
37,16,CT,742,Hartford,6394,2,Suburban,90,America/New_York,2,26,4,Millennials,10114.81,2,Never Married,0,Female,Yes,16.3,16.31017089,16,1,1,0,No,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Credit Card (automatic),3.3,3.312991809,229.99,229.993134,897.6,897.5919144,4,3,5,5,2,4,5,5
38,41,NJ,1513,Sussex,5059,1,Urban,90,America/New_York,1,25,3,GerZ,36229.21,2,Never Married,0,Female,No,9.4,9.447065309,9,2,0,0,No,1,One year,1,Yes,1,Yes,,#N/A,DSL,1,Yes,1,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,1,Yes,10,Electronic Check,7.2,7.161561527,140,140.00128,1340.9,1340.930156,5,6,4,2,5,3,3,3
39,17,DC,532,District of Columbia,20450,2,Suburban,90,America/New_York,1,66,1,Boomers,25397.44,0,Divorced,0,Female,No,16.8,16.84100845,12,1,0,0,No,2,Two Year,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,1,Credit Card (automatic),9.8,9.847563364,184.96,184.964681,1114,1113.993679,4,4,3,4,2,4,4,5
40,48,PA,298,Bucks,2123,2,Suburban,90,America/New_York,1,72,1,Boomers,50336.5,0,Divorced,1,Male,No,8,7.972937227,10,1,1,0,No,2,Two Year,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,1,Yes,1,Yes,0,No,0,No,0,No,0,No,10,Electronic Check,16,16.04202196,147.47,147.473844,1530.1,1530.10769,3,4,3,6,4,4,6,2
41,41,NJ,1152,Ocean,1164,1,Urban,90,America/New_York,3,21,3,GerZ,38211.37,0,Divorced,0,Female,No,11.4,11.42906608,12,1,0,0,No,0,Month-to-month,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,1,Yes,1,Yes,0,No,1,Yes,0,No,1,Yes,11,Mailed Check,9.2,9.179779682,172.46,172.457857,1310.1,1310.137419,5,2,3,3,3,5,4,4
42,48,PA,250,Blair,23,2,Suburban,90,America/New_York,3,55,2,GerX,52887.26,1,Married,1,Male,No,8.1,8.06137096,16,2,0,0,No,0,Month-to-month,1,Yes,0,No,,#N/A,DSL,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,0,No,1,Yes,10,Electronic Check,3,3.002844144,107.48,107.481989,892.9,892.8964931,3,3,2,3,5,4,3,3
43,46,OK,343,Carter,895,2,Suburban,76,America/Chicago,4,41,4,Millennials,12003.33,0,Divorced,1,Male,Yes,12.5,12.54780492,11,1,2,0,No,2,Two Year,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Yes,0,No,1,Credit Card (automatic),3.9,3.924254455,255.14,255.141716,1125.6,1125.581944,3,3,3,5,1,4,3,4
44,48,PA,805,Indiana,6699,2,Suburban,90,America/New_York,4,32,4,Millennials,24090.62,2,Never Married,1,Male,No,8.3,8.255565152,13,0,0,0,No,2,Two Year,1,Yes,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,0,No,0,No,1,Yes,0,No,1,Yes,1,Yes,10,Electronic Check,18.6,18.55959629,192.46,192.456745,2016.7,2016.710031,3,3,3,3,4,3,3,4
45,44,NY,1122,New York,35743,3,Rural,90,America/New_York,0,22,3,GerZ,15137.93,2,Never Married,0,Female,Yes,13.2,13.156514,6,0,0,0,No,2,Two Year,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Credit Card (automatic),8.8,8.798394712,242.63,242.632554,1412.7,1412.736809,4,4,4,4,3,4,3,4
46,32,MI,527,Dickinson,320,1,Urban,89,America/Menominee,2,44,2,GerX,54458.38,0,Divorced,0,Female,Yes,10.6,10.58349704,5,1,0,0,No,0,Month-to-month,1,Yes,1,Yes,,None,None,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Yes,10,Electronic Check,10.4,10.377366,245.17,245.174977,1710.7,1710.689671,3,3,2,2,4,3,5,2
47,24,IL,1225,Peoria,7870,2,Suburban,76,America/Chicago,2,23,3,GerZ,132116.33,0,Divorced,1,Male,Yes,12.5,12.50184778,11,1,0,0,No,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,0,No,1,Yes,1,Yes,0,Bank Transfer(automatic),22.3,22.25746016,184.96,184.964681,2384.9,2384.885909,4,4,5,2,2,4,3,3
48,58,WA,1659,Whatcom,861,2,Suburban,88,America/Los_Angeles,3,43,2,GerX,37358.13,2,Never Married,0,Female,Yes,9.8,9.750038902,11,1,0,1,Yes,0,Month-to-month,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,0,No,0,No,1,Yes,1,Credit Card (automatic),9.4,9.427146079,195.01,195.006206,1213.9,1213.940165,4,5,3,4,3,3,4,3
49,53,TN,719,Hamilton,15364,3,Rural,90,America/New_York,1,86,5,Post War,26534.16,3,Separated,0,Female,No,7.9,7.868660851,11,2,2,0,No,2,Two Year,1,Yes,0,No,,None,None,1,Yes,0,No,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,Bank Transfer(automatic),7.8,7.760290062,104.96,104.962874,740,740.010722,3,4,3,2,3,3,3,3
50,38,ND,1653,Wells,2589,2,Suburban,76,America/Chicago,2,84,5,Post War,76430.83,1,Married,0,Female,No,12.4,12.43563329,14,0,1,0,No,0,Month-to-month,0,No,1,Yes,,None,None,1,Yes,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,1,Yes,10,Electronic Check,11.6,11.56938439,92.49,92.488023,898,897.9716153,3,3,4,3,5,3,3,4
51,11,AL,453,Coosa,4901,1,Urban,76,America/Chicago,2,62,1,Boomers,4662.37,3,Separated,0,Female,Yes,9,8.957166926,13,3,0,0,No,0,Month-to-month,1,Yes,0,No,,#N/A,DSL,1,Yes,1,Yes,0,No,0,No,1,Yes,1,Yes,0,No,1,Yes,0,No,0,Bank Transfer(automatic),3.3,3.343811019,184.98,184.979684,1026.4,1026.387172,2,2,3,4,3,5,2,4
52,37,NC,498,Davidson,39649,1,Urban,90,America/New_York,5,68,1,Boomers,43820.85,0,Divorced,0,Female,Yes,8,8.015021713,12,1,0,0,No,0,Month-to-month,1,Yes,0,No,,None,None,1,Yes,0,No,0,No,0,No,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Credit Card (automatic),7.3,7.338869531,187.66,187.656013,1234.2,1234.244324,2,3,3,5,4,2,3,2
53,28,LA,562,East Carroll,456,2,Suburban,76,America/Chicago,1,59,1,Boomers,38391.55,2,Never Married,0,Female,No,4.2,4.210347704,8,0,0,0,No,0,Month-to-month,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,0,No,1,Yes,0,No,1,Yes,0,No,1,Yes,10,Electronic Check,5.5,5.486534225,149.96,149.962093,727.4,727.3731845,4,4,4,3,4,2,5,4
54,22,IA,322,Calhoun,94,1,Urban,76,America/Chicago,0,31,4,Millennials,44137.6,3,Separated,0,Female,Yes,11.1,11.13960534,6,0,0,1,Yes,1,One year,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,0,No,0,No,0,No,1,Yes,0,No,1,Yes,1,Credit Card (automatic),1.6,1.55278221,169.94,169.944668,452.9,452.8721504,4,4,3,4,4,4,2,3
55,39,NE,300,Buffalo,315,1,Urban,76,America/Chicago,0,51,2,GerX,14364.65,4,Widowed,1,Male,Yes,9,9.03738856,11,2,0,0,No,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,1,Yes,11,Mailed Check,12.1,12.07970325,160,160.00128,1296.7,1296.674543,4,2,4,5,4,3,3,4
56,60,WV,1023,McDowell,4969,2,Suburban,90,America/New_York,1,58,1,Boomers,62359.91,3,Separated,0,Female,No,10.9,10.91594785,11,1,1,0,No,1,One year,0,No,0,No,,#N/A,DSL,1,Yes,0,No,0,No,0,No,1,Yes,0,No,1,Yes,0,No,0,No,11,Mailed Check,14,13.98666226,129.96,129.962093,1840.6,1840.628269,3,4,3,6,3,4,5,3
57,54,TX,277,Brazoria,46869,2,Suburban,76,America/Chicago,1,73,1,Boomers,82634.86,1,Married,1,Male,Yes,8.4,8.387624096,11,0,1,0,No,0,Month-to-month,0,No,0,No,,#N/A,DSL,1,Yes,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,1,Yes,10,Electronic Check,9.6,9.563362997,114.95,114.950905,1324.3,1324.330108,5,4,3,5,3,3,5,4
58,14,CA,1393,Santa Barbara,58431,3,Rural,88,America/Los_Angeles,1,33,4,Millennials,15690.25,4,Widowed,0,Female,No,11.4,11.4487514,11,0,1,0,No,2,Two Year,0,No,0,No,,None,None,1,Yes,0,No,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,1,Yes,11,Mailed Check,6.7,6.732948946,142.52,142.515576,958.1,958.1397059,4,5,5,5,4,4,4,5
59,59,WI,1297,Racine,26182,2,Suburban,76,America/Chicago,1,58,1,Boomers,14568.7,3,Separated,1,Male,Yes,10.2,10.22013704,15,2,0,0,No,2,Two Year,1,Yes,0,No,,None,None,1,Yes,1,Yes,0,No,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Credit Card (automatic),15.7,15.72071086,220.15,220.14775,1868.9,1868.864027,3,5,3,2,4,5,5,4
60,20,GA,538,Dodge,694,3,Rural,90,America/New_York,0,49,2,GerX,29207.46,2,Never Married,0,Female,No,8.4,8.425458142,9,1,0,0,No,2,Two Year,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No,1,Yes,10,Electronic Check,7.2,7.233605493,124.98,124.97808,676.7,676.712908,5,5,3,4,4,5,5,4
61,46,OK,1103,Muskogee,3093,2,Suburban,76,America/Chicago,1,26,4,Millennials,55319.23,2,Never Married,0,Female,No,8.4,8.386280619,12,1,0,0,No,1,One year,0,No,1,Yes,,#N/A,DSL,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,0,No,1,Yes,1,Yes,11,Mailed Check,2.9,2.871017037,164.96,164.964681,1087,1086.990308,5,5,4,4,3,4,4,4
